ID,SURFY,Town,Cunha,Diaz-Ramos,LogAPC
A0FGR8,0,1,1,0,-1.238087097
A2RU67,0,1,1,0,0.753031759
A5YKK6,0,0,1,0,-1.065189032
O00299,0,1,0,0,-0.39052079
O00481,1,1,1,1,1.57465696
O14672,1,1,1,1,0.644909724
O14683,0,1,1,0,-0.663273813
O14828,0,1,1,0,-0.548342409
O14880,0,1,0,0,-0.733240245
O15197,1,1,1,1,1.400085065
O15427,0,0,1,1,0.688685846
O43278,0,0,1,0,0.754548293
O43736,0,1,1,1,0.713457663
O43813,0,0,0,1,-0.291516252
O60488,0,1,0,0,-1.570016178
O75396,0,1,0,0,-1.479550763
O75844,0,1,0,0,-1.723863111
O75882,1,1,1,1,1.730247179
O75915,0,1,0,0,-0.48878914
O94826,0,1,0,0,-1.68473402
O95183,0,1,1,0,-0.539260116
O95202,0,1,1,0,-2.191916394
O95297,1,1,1,0,0.600992015
O95864,0,1,1,0,-1.002484878
O95980,1,0,0,0,1.28727709
P00390,0,1,0,0,0.006922296
P00813,0,1,0,0,0.131404943
P00846,0,1,0,0,-0.18939445
P01730,1,1,1,1,0.557816763
P01848,0,1,0,0,0.740275048
P01850,0,1,0,0,0.613909744
P01889,1,1,1,1,0.671516417
P02786,0,1,1,1,0.779302814
P04083,0,1,0,0,0.155160584
P04156,1,1,1,1,0.440238219
P04216,1,1,0,1,0.520086149
P04439,1,1,1,1,0.714138641
P04843,1,1,0,0,-1.190138451
P04844,0,1,1,0,-0.995756636
P04921,1,1,1,1,0.348235473
P05023,1,1,1,1,-0.093012564
P05107,1,1,1,1,0.676530085
P05141,0,1,1,0,-0.695148018
P05556,1,1,1,1,0.738230953
P06126,1,1,1,1,0.624690005
P06127,1,1,1,1,0.708492122
P06213,1,1,1,1,2.044489577
P06576,0,1,0,0,-1.51415403
P06729,1,1,1,1,0.592971476
P06756,1,1,1,1,1.589332656
P07766,0,1,1,1,-0.13822775
P08069,1,1,1,1,0.958454503
P08195,1,1,1,1,0.983949735
P08238,0,1,0,0,-0.639776542
P08574,0,1,0,0,-0.890799456
P08575,1,1,1,1,0.99262153
P08648,1,1,0,1,0.943382611
P09326,1,0,1,1,0.314059754
P09429,0,1,0,0,0.194601294
P09564,1,1,1,1,0.66700761
P09693,1,1,1,1,0.528357883
P10321,1,1,1,1,0.526975566
P10586,1,1,1,0,0.911247419
P10747,1,1,1,1,0.649120053
P10809,0,1,0,0,-1.500184387
P11021,0,1,0,0,-1.222185358
P11166,1,1,1,1,0.658326257
P11717,1,1,1,1,0.819815804
P12235,0,1,1,0,-0.881974466
P12236,0,1,0,0,-0.604849961
P13598,1,1,1,1,0.689526457
P13612,1,1,1,1,0.533944404
P13637,1,0,1,0,0.815377501
P13667,0,1,0,0,-1.253640924
P13747,1,1,1,1,1.282083218
P13987,1,1,0,1,0.744989021
P14151,1,1,1,1,0.850654762
P14174,0,1,0,0,-0.396327028
P14209,0,1,1,1,0.485218268
P14735,0,1,0,0,-0.255634224
P15813,1,1,1,1,0.954092972
P16150,1,1,1,1,0.388300053
P16284,1,1,1,1,0.776050787
P16615,0,0,1,0,-1.226349707
P17181,1,0,1,1,1.276860847
P17693,1,1,1,1,0.839754699
P17706,0,0,1,0,-1.265690485
P18084,1,1,1,1,0.35715511
P19256,1,1,1,1,0.979835287
P19634,1,1,1,0,0.64540246
P20701,1,1,1,1,0.992935609
P21796,0,1,0,0,-1.350034035
P21964,0,1,0,0,-1.777144678
P23229,1,1,1,1,1.15985009
P23634,1,0,1,1,0.348090702
P25445,1,1,0,1,0.945167917
P27797,0,1,0,0,-1.385195437
P27824,0,1,0,0,-1.43749553
P28288,0,1,0,0,-1.157498462
P28907,1,1,0,1,0.645974783
P29016,1,1,1,1,0.692942086
P29017,1,1,1,1,0.624997818
P29323,1,1,1,0,1.471556883
P30040,0,1,0,0,-1.607367941
P30101,0,1,0,0,-1.291303937
P30203,1,1,1,1,0.901676595
P30825,1,1,1,0,0.359350132
P31785,1,1,1,1,0.492772361
P32942,1,1,1,1,0.872067065
P33527,1,1,1,1,0.791055118
P35579,0,1,0,0,-0.061001348
P35580,0,1,0,0,-0.156540854
P35613,1,1,1,1,0.523844827
P36873,0,1,0,0,0.056694982
P41732,1,1,1,1,0.447779773
P42166,0,1,0,0,-1.434536728
P45880,0,1,0,0,-1.26092707
P46977,0,1,1,0,-0.936350991
P48651,0,1,1,0,-1.288143786
P48960,1,1,1,1,0.792763851
P49257,0,1,0,0,-1.676760155
P49755,0,1,1,1,-0.658007797
P50416,0,1,0,0,-0.828890566
P51572,0,1,1,0,-1.259179751
P53007,0,1,0,0,-1.633895594
P53985,1,1,1,0,0.828512642
P54578,0,1,0,0,-0.619731637
P54709,1,1,1,1,0.721641258
P55160,0,1,0,1,-0.435720775
P57088,0,1,1,0,-0.317905382
P60033,0,1,1,1,0.419401764
P60602,0,1,0,0,-0.042512128
P61009,0,1,0,0,-0.900851253
P61073,1,1,1,1,0.576663419
P61586,0,1,0,0,-0.826594944
P61619,0,1,0,0,-0.962821683
P61769,0,1,0,1,0.72680379
P61803,0,1,1,0,-0.234950898
P78310,1,1,1,1,0.96714411
P78410,1,1,1,1,0.291629617
P98155,1,1,1,0,0.783691335
P98172,1,1,1,1,0.580085907
Q00325,0,1,1,0,-0.604094389
Q00839,0,1,0,0,-1.229229365
Q01650,1,1,1,1,0.796521557
Q02978,0,1,0,0,-0.654861944
Q07021,0,1,0,0,-1.509896194
Q07108,1,1,1,1,1.12376443
Q08334,1,1,1,1,0.820405102
Q08431,0,1,0,0,0.44158496
Q08722,1,1,1,1,0.876464038
Q10471,0,1,0,0,-0.505289318
Q10589,1,1,0,1,0.946301084
Q12904,0,1,0,0,-0.790561649
Q13303,0,0,1,0,-1.290098384
Q13308,1,1,1,0,0.718115378
Q13332,1,1,1,0,1.098679748
Q13423,0,1,0,0,-1.080546201
Q13433,1,1,1,0,0.578543891
Q13449,1,1,1,0,1.074699575
Q13576,0,1,0,0,-0.73072835
Q13740,1,1,1,1,0.642473526
Q14118,1,1,1,0,1.009956763
Q14126,1,1,0,0,1.223547996
Q14141,0,1,0,0,-0.090912213
Q14165,0,0,1,1,-1.036782614
Q14242,1,1,1,1,0.504524953
Q14318,0,1,1,0,-1.387891933
Q14517,1,1,1,0,0.66884726
Q14739,0,1,0,0,-1.23787253
Q14761,0,1,1,1,0.960532192
Q15019,0,1,0,0,-1.123555182
Q15043,1,1,1,0,0.672341935
Q15125,1,1,1,0,-0.988569532
Q15223,1,1,1,1,1.020678928
Q15262,1,1,1,1,0.758323867
Q15762,1,1,1,1,0.855343333
Q16181,0,1,0,0,-0.347397022
Q16512,0,1,0,0,-1.193396328
Q16563,1,1,1,0,0.59308128
Q16891,0,1,0,0,-1.048208234
Q4KMQ2,1,1,1,0,1.097247433
Q5JTH9,0,1,0,0,-1.487959027
Q5JTV8,0,1,0,0,-1.44158986
Q5T4S7,0,1,0,0,-0.38662589
Q5VU97,1,1,1,0,1.661255936
Q5VUB5,1,1,1,0,0.341885323
Q6PCB8,1,0,1,0,0.966684081
Q6PIZ9,1,1,0,0,0.757144028
Q6UW68,0,1,1,0,-0.702550637
Q6UXB8,1,1,0,1,-0.398814067
Q6ZMG9,0,1,0,0,-0.88942389
Q7L0J3,1,1,1,0,0.649559986
Q7Z7H5,0,1,0,0,-0.761312049
Q86UP2,0,1,0,0,-1.117466827
Q8N5M9,0,0,1,0,-1.36197326
Q8NE01,1,1,0,0,1.307823926
Q8NG11,1,1,0,0,1.067839623
Q8TCJ2,1,1,1,0,-1.327188671
Q8TCZ2,0,1,1,0,0.421219669
Q8TEM1,1,0,0,0,-1.042772826
Q8WWI5,1,1,1,1,0.989837563
Q92854,1,1,1,1,0.33197732
Q92859,1,1,1,1,0.248486029
Q92896,0,1,0,0,-1.887159025
Q969P0,1,1,1,1,0.617340587
Q96A33,0,1,0,0,-2.220855789
Q96AG4,0,1,1,0,-1.159731368
Q96D31,0,0,1,1,0.547288134
Q96D96,0,1,1,1,-0.441198614
Q96DU3,1,1,1,1,1.121045336
Q96F15,0,1,0,0,-0.985113265
Q96HS1,0,1,0,0,-1.151072313
Q96IX5,0,1,0,0,-0.480952856
Q96K37,0,0,1,0,-1.268774678
Q96QD8,1,1,1,0,0.715490069
Q96S97,1,1,1,1,0.706712514
Q99643,0,1,0,0,-0.855043797
Q99808,1,0,1,1,0.528923837
Q9BQA9,0,1,0,0,-1.01084348
Q9BSJ8,0,1,1,0,-1.886548972
Q9BUB7,0,1,1,0,-0.96717896
Q9BVK6,0,1,0,0,-1.308763819
Q9BX67,1,1,1,1,0.500008613
Q9BZM5,1,1,1,1,-0.317587261
Q9C0K1,1,0,1,0,0.743822586
Q9H0U3,0,0,1,0,-1.364013511
Q9H0X4,0,1,0,0,1.118847623
Q9H3N1,0,1,0,0,-1.81608855
Q9H9B4,0,1,0,0,-1.250727914
Q9HBG7,1,1,1,1,0.998878741
Q9HD20,1,0,1,0,-1.800798498
Q9HD45,1,1,1,1,-0.62479623
Q9NPH3,1,1,1,1,0.869006488
Q9NQC3,0,1,0,0,-1.261845698
Q9NS69,0,1,0,0,-0.178560953
Q9NTJ5,0,1,1,0,-1.209849234
Q9NUQ2,0,1,1,0,-0.724766258
Q9NV96,1,1,1,0,0.902491775
Q9NY35,1,1,1,0,1.006993832
Q9NYP7,0,1,1,0,-1.233035438
Q9NZ01,0,1,1,0,-1.259657787
Q9NZ08,0,1,0,0,-0.87142113
Q9P035,0,1,1,1,-0.900841302
Q9P0L0,0,1,1,0,-1.545660593
Q9P1W8,1,1,1,0,1.067215458
Q9P2E9,0,1,0,0,-1.08025422
Q9UBM7,0,1,0,0,-1.251532186
Q9UBX3,0,1,0,0,-0.98461606
Q9UIB8,1,1,1,1,0.795880017
Q9UIQ6,1,1,1,0,1.087071592
Q9UIW2,1,1,1,0,1.399638809
Q9ULF5,1,1,0,0,0.418025793
Q9UM00,0,1,1,0,-0.852351401
Q9Y241,0,1,1,0,-0.289612951
Q9Y277,0,1,0,0,-0.939841882
Q9Y289,1,1,1,1,0.81503115
Q9Y3P8,1,1,1,0,1.401620184
Q9Y490,0,1,0,0,0.30569564
Q9Y624,1,1,1,1,1.342419399
Q9Y639,1,1,1,0,0.961731675
Q9Y666,1,0,1,0,1.362231956
Q9Y673,0,1,0,0,-1.536788435
Q9Y696,0,1,0,0,-0.204803987
Q9Y6A9,0,1,0,0,-0.691677958
Q9Y6M7,1,0,1,1,2.067087634